Saved combination search to /home/user/mcs/candidate_registry/combinations/generate_farm_long_20260311_r2__gen_jan2024_td10_g8__rolling_cycle_01_combinations.json
Pool=4 combinations=14 scenarios=42
Best scenario: subset_1_cand_088484d7198e_risk_0.25
wf_02_20231222_run01 | size=1 requested=0.25 risk=0.25 objective=-0.3519 p05_pnl=-148.02 p95_dd=1.80
wf_02_20231222_run01 | size=1 requested=0.50 risk=0.35 objective=-0.3520 p05_pnl=-206.70 p95_dd=2.51
wf_02_20231222_run01 | size=1 requested=0.75 risk=0.35 objective=-0.3520 p05_pnl=-206.70 p95_dd=2.51
wf_02_20231222_run01,wf_02_20231222_run02 | size=2 requested=0.25 risk=0.25 objective=-0.3911 p05_pnl=-158.40 p95_dd=1.92
wf_02_20231222_run01,wf_01_20231215_run01 | size=2 requested=0.25 risk=0.25 objective=-0.3986 p05_pnl=-155.17 p95_dd=1.86
wf_02_20231222_run01,wf_01_20231215_run01,wf_02_20231222_run02 | size=3 requested=0.25 risk=0.25 objective=-0.4315 p05_pnl=-166.01 p95_dd=1.97
wf_02_20231222_run01,wf_02_20231222_run02 | size=2 requested=0.50 risk=0.50 objective=-0.6200 p05_pnl=-515.76 p95_dd=5.46
wf_02_20231222_run01,wf_01_20231215_run01,wf_02_20231222_run02 | size=3 requested=0.50 risk=0.50 objective=-0.6484 p05_pnl=-471.82 p95_dd=5.05
wf_02_20231222_run01,wf_01_20231215_run01 | size=2 requested=0.50 risk=0.50 objective=-0.6591 p05_pnl=-474.55 p95_dd=5.01
wf_02_20231222_run01,wf_02_20231222_run02 | size=2 requested=0.75 risk=0.70 objective=-0.7520 p05_pnl=-999.83 p95_dd=10.52
