Saved combination search to /home/user/mcs/candidate_registry/combinations/family_sweep_20260319_tuned_6h__lin57_active_jan2024__rolling_cycle_01_combinations.json
Pool=4 combinations=14 scenarios=42
Best scenario: subset_1_cand_55ddf731610e_risk_0.50
wf_01_20231215_run01 | size=1 requested=0.50 risk=0.35 objective=-0.3110 p05_pnl=-363.37 p95_dd=5.46
wf_01_20231215_run01 | size=1 requested=0.75 risk=0.35 objective=-0.3110 p05_pnl=-363.37 p95_dd=5.46
wf_01_20231215_run01 | size=1 requested=0.25 risk=0.25 objective=-0.3140 p05_pnl=-259.74 p95_dd=3.92
wf_01_20231215_run02,wf_01_20231215_run01 | size=2 requested=0.25 risk=0.25 objective=-0.4460 p05_pnl=-254.74 p95_dd=3.19
wf_01_20231215_run02,wf_01_20231215_run01 | size=2 requested=0.50 risk=0.50 objective=-0.4471 p05_pnl=-504.04 p95_dd=6.29
wf_01_20231215_run02,wf_01_20231215_run01 | size=2 requested=0.75 risk=0.70 objective=-0.4480 p05_pnl=-699.63 p95_dd=8.70
wf_02_20231222_run02,wf_01_20231215_run01 | size=2 requested=0.25 risk=0.25 objective=-0.5040 p05_pnl=-193.66 p95_dd=2.06
wf_02_20231222_run02,wf_01_20231215_run01 | size=2 requested=0.50 risk=0.50 objective=-0.5097 p05_pnl=-384.17 p95_dd=4.09
wf_02_20231222_run02,wf_01_20231215_run01 | size=2 requested=0.75 risk=0.70 objective=-0.5142 p05_pnl=-534.34 p95_dd=5.68
wf_01_20231215_run02,wf_02_20231222_run02,wf_01_20231215_run01 | size=3 requested=0.25 risk=0.25 objective=-0.5847 p05_pnl=-137.08 p95_dd=1.48
