Saved combination search to /home/user/mcs/candidate_registry/combinations/generate_farm_long_20260311_r2__gen_jun2024_td10_g12__rolling_cycle_02_combinations.json
Pool=4 combinations=14 scenarios=42
Best scenario: subset_2_cand_7e4b9eba3c94+cand_bb3fe6680170_risk_0.25
wf_01_20240522_run01,wf_02_20240529_run02 | size=2 requested=0.25 risk=0.25 objective=-0.4075 p05_pnl=-143.06 p95_dd=1.80
wf_01_20240522_run01,wf_02_20240529_run02 | size=2 requested=0.50 risk=0.50 objective=-0.4101 p05_pnl=-284.72 p95_dd=3.57
wf_01_20240522_run01,wf_02_20240529_run02 | size=2 requested=0.75 risk=0.70 objective=-0.4153 p05_pnl=-397.04 p95_dd=4.96
wf_01_20240522_run01 | size=1 requested=0.25 risk=0.25 objective=-0.4233 p05_pnl=-244.75 p95_dd=3.45
wf_01_20240522_run01 | size=1 requested=0.50 risk=0.35 objective=-0.4234 p05_pnl=-341.37 p95_dd=4.80
wf_01_20240522_run01 | size=1 requested=0.75 risk=0.35 objective=-0.4234 p05_pnl=-341.37 p95_dd=4.80
wf_02_20240529_run01,wf_01_20240522_run01 | size=2 requested=0.25 risk=0.25 objective=-0.4440 p05_pnl=-156.15 p95_dd=1.93
wf_02_20240529_run02,wf_01_20240522_run02 | size=2 requested=0.25 risk=0.25 objective=-0.4449 p05_pnl=-141.91 p95_dd=1.76
wf_02_20240529_run02,wf_01_20240522_run02 | size=2 requested=0.50 risk=0.50 objective=-0.4481 p05_pnl=-282.39 p95_dd=3.50
wf_02_20240529_run01,wf_01_20240522_run01 | size=2 requested=0.50 risk=0.50 objective=-0.4500 p05_pnl=-310.39 p95_dd=3.83
